Model Name,Brand,Processor,RAM,Storage,Display,Operating System,Color,Body Type,Weight,Warranty,Price (BDT)
ASUS VivoBook 15,ASUS,Apple M1,8GB,128GB SSD,"15.6"" FHD",macOS Ventura,Blue,Magnesium Alloy,1.75kg,3 Years,51632
LG Gram 14,LG,Apple M2,32GB,512GB SSD,"17"" FHD",macOS Ventura,White,Aluminum,1.25kg,3 Years,67724
Walton Tamarind EX10,Walton,Intel Core i7 13th Gen,32GB,128GB SSD,"17"" FHD",macOS Ventura,White,Magnesium Alloy,1.75kg,1 Year,43679
Apple MacBook Air M2,Apple,Apple M2,4GB,512GB SSD,"13.3"" FHD",macOS Ventura,Blue,Aluminum,0.99kg,1 Year,63397
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,8GB,128GB SSD,"16"" QHD",Windows 11,Silver,Plastic,1.40kg,3 Years,220055
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,8GB,1TB SSD,"13.3"" FHD",Windows 11,Black,Aluminum,1.75kg,2 Years,72091
HP Victus 15,HP,Intel Core i5 12th Gen,12GB,1TB SSD,"13.3"" FHD",macOS Ventura,Blue,Magnesium Alloy,0.99kg,2 Years,166822
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,128GB SSD,"13.3"" FHD",Windows 11,Black,Aluminum,1.40kg,1 Year,151649
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,8GB,256GB SSD,"16"" QHD",Chrome OS,Blue,Carbon Fiber,1.40kg,2 Years,110636
Apple MacBook Air M2,Apple,Intel Core i7 13th Gen,32GB,512GB SSD,"16"" QHD",Windows 10,White,Plastic,1.40kg,3 Years,86757
HP Victus 15,HP,Intel Core i3 11th Gen,8GB,512GB SSD,"13.3"" FHD",macOS Ventura,White,Metal,1.40kg,3 Years,79002
Acer Aspire 5,Acer,Intel Core i3 11th Gen,4GB,512GB SSD,"16"" QHD",Chrome OS,Black,Carbon Fiber,2.00kg,3 Years,211461
Apple MacBook Air M2,Apple,Intel Core i7 13th Gen,32GB,256GB SSD,"15.6"" FHD",macOS Ventura,Gray,Metal,1.40kg,1 Year,86937
LG Gram 14,LG,Intel Core i9 13th Gen,12GB,128GB SSD,"15.6"" FHD",macOS Ventura,Black,Magnesium Alloy,1.75kg,2 Years,60307
Dell Inspiron 14,Dell,Intel Core i7 13th Gen,12GB,1TB SSD,"14"" FHD",Chrome OS,Gray,Magnesium Alloy,1.25kg,3 Years,231717
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,12GB,256GB SSD,"14"" FHD",macOS Ventura,Silver,Magnesium Alloy,1.40kg,1 Year,42591
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,12GB,128GB SSD,"13.3"" FHD",macOS Ventura,Silver,Plastic,2.00kg,3 Years,181375
Dell XPS 13,Dell,Intel Core i7 13th Gen,32GB,256GB SSD,"14"" FHD",Windows 11,Gray,Aluminum,1.40kg,3 Years,163650
HP Pavilion 15,HP,Apple M2,12GB,1TB SSD,"17"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.75kg,3 Years,80992
HP Pavilion 15,HP,Intel Core i7 13th Gen,12GB,512GB SSD,"16"" QHD",Chrome OS,White,Plastic,2.00kg,3 Years,145646
Dell Inspiron 14,Dell,Apple M2,12GB,256GB SSD,"13.3"" FHD",Windows 10,Black,Carbon Fiber,0.99kg,3 Years,61278
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 5 5500U,4GB,512GB SSD,"16"" QHD",Windows 11,Silver,Magnesium Alloy,0.99kg,1 Year,35729
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,512GB SSD,"13.3"" FHD",Chrome OS,White,Metal,0.99kg,2 Years,51241
Walton Prelude N41,Walton,Intel Core i9 13th Gen,32GB,1TB SSD,"17"" FHD",Windows 11,Black,Aluminum,2.00kg,3 Years,77322
HP Pavilion 15,HP,Apple M2,8GB,256GB SSD,"14"" FHD",Windows 10,Black,Carbon Fiber,2.00kg,2 Years,149552
Dell XPS 13,Dell,Apple M2,8GB,128GB SSD,"16"" QHD",macOS Ventura,Gray,Carbon Fiber,2.00kg,2 Years,37238
Apple MacBook Air M2,Apple,Intel Core i7 13th Gen,8GB,128GB SSD,"14"" FHD",Chrome OS,Black,Carbon Fiber,1.75kg,2 Years,61777
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,32GB,512GB SSD,"17"" FHD",Windows 11,Gray,Carbon Fiber,1.40kg,1 Year,207344
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i9 13th Gen,32GB,128GB SSD,"17"" FHD",Chrome OS,Black,Plastic,2.00kg,2 Years,198367
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,32GB,128GB SSD,"15.6"" FHD",macOS Ventura,Blue,Aluminum,1.25kg,2 Years,210757
Walton Prelude N41,Walton,Intel Core i5 12th Gen,12GB,512GB SSD,"16"" QHD",macOS Ventura,Black,Carbon Fiber,0.99kg,2 Years,194679
Acer Aspire 5,Acer,Intel Core i5 12th Gen,32GB,512GB SSD,"15.6"" FHD",macOS Ventura,Black,Carbon Fiber,1.40kg,3 Years,192649
Walton Prelude N41,Walton,Apple M1,8GB,512GB SSD,"16"" QHD",Chrome OS,Silver,Magnesium Alloy,1.40kg,3 Years,78137
HP Pavilion 15,HP,Apple M2,8GB,512GB SSD,"17"" FHD",Windows 10,Gray,Aluminum,1.40kg,2 Years,120568
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,32GB,128GB SSD,"16"" QHD",Windows 11,White,Plastic,1.75kg,1 Year,164394
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,16GB,128GB SSD,"13.3"" FHD",Windows 10,Black,Plastic,2.00kg,3 Years,65015
HP Pavilion 15,HP,Intel Core i9 13th Gen,4GB,128GB SSD,"15.6"" FHD",Windows 10,Silver,Metal,1.25kg,1 Year,147314
Acer Aspire 5,Acer,Apple M2,8GB,256GB SSD,"16"" QHD",Chrome OS,Black,Metal,1.25kg,3 Years,43676
ASUS VivoBook 15,ASUS,Intel Core i7 13th Gen,8GB,1TB SSD,"13.3"" FHD",macOS Ventura,Black,Magnesium Alloy,2.00kg,2 Years,45311
Walton Prelude N41,Walton,Intel Core i9 13th Gen,12GB,256GB SSD,"15.6"" FHD",Windows 11,Gray,Aluminum,1.25kg,1 Year,162042
HP Victus 15,HP,Intel Core i5 12th Gen,32GB,128GB SSD,"14"" FHD",Windows 11,Black,Metal,1.75kg,1 Year,249099
ASUS VivoBook 15,ASUS,AMD Ryzen 5 5500U,4GB,1TB SSD,"13.3"" FHD",Windows 10,Black,Magnesium Alloy,1.75kg,3 Years,191481
LG Gram 14,LG,Intel Core i7 13th Gen,4GB,512GB SSD,"17"" FHD",Chrome OS,Gray,Magnesium Alloy,1.25kg,2 Years,245823
HP Pavilion 15,HP,Intel Core i7 13th Gen,16GB,1TB SSD,"14"" FHD",Windows 11,White,Carbon Fiber,1.25kg,2 Years,159715
MSI GF63 Thin,MSI,Intel Core i5 12th Gen,12GB,512GB SSD,"17"" FHD",macOS Ventura,Black,Magnesium Alloy,0.99kg,1 Year,49032
LG Gram 14,LG,AMD Ryzen 5 5500U,32GB,256GB SSD,"17"" FHD",macOS Ventura,White,Plastic,0.99kg,3 Years,149150
Walton Prelude N41,Walton,Intel Core i5 12th Gen,12GB,128GB SSD,"14"" FHD",Windows 11,Gray,Magnesium Alloy,1.25kg,1 Year,49227
LG Gram 14,LG,Apple M2,16GB,256GB SSD,"14"" FHD",Windows 10,Black,Metal,0.99kg,2 Years,234308
HP Victus 15,HP,Intel Core i5 12th Gen,12GB,256GB SSD,"16"" QHD",Windows 11,Gray,Carbon Fiber,1.25kg,2 Years,115929
Apple MacBook Air M2,Apple,Apple M1,16GB,512GB SSD,"16"" QHD",Windows 11,Silver,Magnesium Alloy,0.99kg,3 Years,96002
Apple MacBook Pro M2,Apple,Apple M1,16GB,512GB SSD,"13.3"" FHD",Windows 11,Gray,Metal,1.25kg,1 Year,200705
ASUS VivoBook 15,ASUS,AMD Ryzen 5 5500U,8GB,256GB SSD,"16"" QHD",Windows 10,Gray,Aluminum,1.40kg,3 Years,191552
MSI GF63 Thin,MSI,Apple M2,12GB,1TB SSD,"14"" FHD",Chrome OS,Gray,Magnesium Alloy,0.99kg,3 Years,129466
Dell XPS 13,Dell,Apple M1,4GB,256GB SSD,"16"" QHD",Windows 11,White,Magnesium Alloy,1.25kg,2 Years,54758
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,32GB,512GB SSD,"14"" FHD",macOS Ventura,Gray,Carbon Fiber,1.25kg,2 Years,50016
HP Victus 15,HP,Intel Core i7 13th Gen,8GB,512GB SSD,"16"" QHD",macOS Ventura,Silver,Carbon Fiber,1.40kg,3 Years,120256
HP Victus 15,HP,AMD Ryzen 5 5500U,12GB,512GB SSD,"17"" FHD",Windows 11,White,Plastic,2.00kg,3 Years,75759
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,12GB,1TB SSD,"15.6"" FHD",macOS Ventura,Blue,Carbon Fiber,1.25kg,2 Years,157269
Dell XPS 13,Dell,Intel Core i9 13th Gen,32GB,256GB SSD,"17"" FHD",Windows 11,Gray,Plastic,1.25kg,1 Year,89165
Dell XPS 13,Dell,AMD Ryzen 5 5500U,4GB,512GB SSD,"17"" FHD",Windows 11,Blue,Metal,1.40kg,3 Years,63456
HP Pavilion 15,HP,Intel Core i7 13th Gen,8GB,256GB SSD,"14"" FHD",Windows 11,White,Carbon Fiber,1.25kg,2 Years,47850
LG Gram 14,LG,Intel Core i5 12th Gen,8GB,128GB SSD,"17"" FHD",Windows 11,White,Carbon Fiber,2.00kg,1 Year,144574
HP Victus 15,HP,Intel Core i5 12th Gen,8GB,256GB SSD,"16"" QHD",Chrome OS,Blue,Metal,1.75kg,2 Years,37384
HP Victus 15,HP,Intel Core i9 13th Gen,16GB,1TB SSD,"13.3"" FHD",Windows 10,Gray,Carbon Fiber,1.25kg,2 Years,140647
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,8GB,512GB SSD,"17"" FHD",Windows 11,Gray,Metal,1.75kg,2 Years,194494
Walton Tamarind EX10,Walton,AMD Ryzen 5 5500U,32GB,128GB SSD,"14"" FHD",Chrome OS,Silver,Magnesium Alloy,1.40kg,1 Year,165612
ASUS ROG Zephyrus G14,ASUS,Apple M1,16GB,256GB SSD,"16"" QHD",Chrome OS,Blue,Aluminum,0.99kg,1 Year,91917
HP Pavilion 15,HP,Apple M1,12GB,128GB SSD,"13.3"" FHD",Chrome OS,White,Aluminum,1.25kg,2 Years,232212
HP Victus 15,HP,AMD Ryzen 5 5500U,4GB,512GB SSD,"17"" FHD",Chrome OS,Blue,Metal,1.75kg,2 Years,109888
Dell XPS 13,Dell,Apple M1,32GB,256GB SSD,"14"" FHD",Windows 11,White,Magnesium Alloy,2.00kg,3 Years,190506
Walton Prelude N41,Walton,Intel Core i7 13th Gen,4GB,256GB SSD,"17"" FHD",Chrome OS,Silver,Carbon Fiber,2.00kg,1 Year,100491
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,32GB,512GB SSD,"13.3"" FHD",Windows 10,Black,Carbon Fiber,0.99kg,3 Years,236016
Apple MacBook Pro M2,Apple,Apple M1,16GB,128GB SSD,"13.3"" FHD",macOS Ventura,Gray,Plastic,1.25kg,2 Years,112046
HP Victus 15,HP,Apple M1,32GB,512GB SSD,"14"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,2 Years,95519
Apple MacBook Air M2,Apple,Intel Core i5 12th Gen,8GB,512GB SSD,"14"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.40kg,3 Years,124918
Apple MacBook Air M2,Apple,Intel Core i3 11th Gen,32GB,1TB SSD,"13.3"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,3 Years,46115
MSI GF63 Thin,MSI,Apple M1,16GB,512GB SSD,"15.6"" FHD",Windows 11,White,Carbon Fiber,1.25kg,2 Years,184329
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,512GB SSD,"14"" FHD",Chrome OS,White,Carbon Fiber,1.75kg,2 Years,69595
ASUS ROG Zephyrus G14,ASUS,Intel Core i3 11th Gen,8GB,512GB SSD,"13.3"" FHD",Chrome OS,Black,Plastic,1.75kg,2 Years,153003
Apple MacBook Air M1,Apple,Apple M1,12GB,128GB SSD,"17"" FHD",Windows 10,Silver,Carbon Fiber,1.40kg,3 Years,79463
Acer Aspire 5,Acer,Intel Core i3 11th Gen,4GB,512GB SSD,"13.3"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.25kg,1 Year,73886
HP Pavilion 15,HP,Intel Core i5 12th Gen,4GB,128GB SSD,"14"" FHD",Windows 11,Silver,Carbon Fiber,2.00kg,2 Years,159552
Acer Aspire 5,Acer,Intel Core i9 13th Gen,12GB,128GB SSD,"14"" FHD",macOS Ventura,Blue,Metal,1.25kg,2 Years,149782
HP Pavilion 15,HP,Apple M1,8GB,512GB SSD,"14"" FHD",Chrome OS,Silver,Plastic,2.00kg,3 Years,220736
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,12GB,256GB SSD,"15.6"" FHD",Chrome OS,Blue,Metal,1.25kg,1 Year,150693
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,12GB,512GB SSD,"17"" FHD",Windows 10,Gray,Carbon Fiber,0.99kg,1 Year,239250
Walton Prelude N41,Walton,Intel Core i5 12th Gen,16GB,512GB SSD,"17"" FHD",Windows 10,White,Metal,1.75kg,1 Year,43713
Acer Aspire 5,Acer,Intel Core i7 13th Gen,12GB,512GB SSD,"16"" QHD",Chrome OS,White,Aluminum,1.75kg,3 Years,75914
HP Victus 15,HP,AMD Ryzen 5 5500U,12GB,512GB SSD,"14"" FHD",macOS Ventura,Gray,Metal,2.00kg,1 Year,107743
MSI GF63 Thin,MSI,Apple M2,4GB,256GB SSD,"15.6"" FHD",Chrome OS,Black,Carbon Fiber,2.00kg,1 Year,124968
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,8GB,512GB SSD,"16"" QHD",Windows 10,Silver,Plastic,0.99kg,3 Years,42446
HP Pavilion 15,HP,Intel Core i3 11th Gen,12GB,1TB SSD,"15.6"" FHD",Windows 11,Black,Metal,1.25kg,1 Year,60134
Walton Prelude N41,Walton,Apple M1,16GB,128GB SSD,"16"" QHD",Windows 10,Blue,Carbon Fiber,0.99kg,2 Years,50848
MSI GF63 Thin,MSI,Intel Core i9 13th Gen,32GB,256GB SSD,"17"" FHD",Chrome OS,Gray,Plastic,1.75kg,1 Year,104780
Walton Tamarind EX10,Walton,Apple M2,16GB,1TB SSD,"14"" FHD",Chrome OS,White,Aluminum,0.99kg,2 Years,222455
Walton Prelude N41,Walton,Intel Core i9 13th Gen,12GB,128GB SSD,"15.6"" FHD",macOS Ventura,White,Plastic,2.00kg,2 Years,49739
Acer Aspire 5,Acer,Intel Core i3 11th Gen,16GB,1TB SSD,"14"" FHD",Windows 11,Blue,Carbon Fiber,2.00kg,1 Year,43660
ASUS VivoBook 15,ASUS,Apple M1,8GB,256GB SSD,"15.6"" FHD",Windows 10,Black,Plastic,1.25kg,2 Years,147810
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,4GB,512GB SSD,"13.3"" FHD",Chrome OS,Blue,Metal,0.99kg,1 Year,129925
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 5 5500U,8GB,512GB SSD,"15.6"" FHD",Windows 10,Silver,Magnesium Alloy,0.99kg,2 Years,178572
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,4GB,1TB SSD,"15.6"" FHD",Windows 10,Blue,Carbon Fiber,1.25kg,3 Years,213089
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,16GB,512GB SSD,"14"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.25kg,1 Year,89695
ASUS VivoBook 15,ASUS,Apple M1,16GB,256GB SSD,"15.6"" FHD",Chrome OS,Gray,Aluminum,1.40kg,2 Years,109345
LG Gram 14,LG,Intel Core i3 11th Gen,32GB,128GB SSD,"15.6"" FHD",Windows 11,Gray,Metal,2.00kg,2 Years,158333
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 5 5500U,4GB,1TB SSD,"16"" QHD",Windows 11,Silver,Plastic,1.75kg,2 Years,207283
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 7 5800U,4GB,512GB SSD,"15.6"" FHD",Windows 11,Blue,Carbon Fiber,1.40kg,3 Years,179865
Dell XPS 13,Dell,AMD Ryzen 7 5800U,4GB,256GB SSD,"17"" FHD",macOS Ventura,Black,Plastic,1.25kg,1 Year,207104
Dell XPS 13,Dell,Apple M1,32GB,512GB SSD,"13.3"" FHD",Chrome OS,White,Carbon Fiber,1.40kg,3 Years,92541
Walton Tamarind EX10,Walton,Apple M1,8GB,256GB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,0.99kg,2 Years,67264
HP Pavilion 15,HP,Apple M1,32GB,512GB SSD,"13.3"" FHD",Windows 10,White,Magnesium Alloy,1.25kg,3 Years,76764
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,16GB,1TB SSD,"13.3"" FHD",macOS Ventura,Blue,Carbon Fiber,2.00kg,1 Year,45489
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,4GB,128GB SSD,"15.6"" FHD",macOS Ventura,Black,Aluminum,2.00kg,3 Years,246227
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,32GB,512GB SSD,"14"" FHD",Chrome OS,Silver,Carbon Fiber,1.25kg,1 Year,135843
Walton Tamarind EX10,Walton,Apple M2,32GB,128GB SSD,"13.3"" FHD",macOS Ventura,Silver,Plastic,1.75kg,3 Years,161239
Apple MacBook Pro M2,Apple,Apple M2,16GB,128GB SSD,"17"" FHD",Windows 11,White,Magnesium Alloy,1.75kg,2 Years,96078
Apple MacBook Pro M2,Apple,Intel Core i3 11th Gen,8GB,128GB SSD,"16"" QHD",Windows 10,Black,Metal,0.99kg,1 Year,82270
HP Pavilion 15,HP,Intel Core i3 11th Gen,12GB,512GB SSD,"13.3"" FHD",Windows 11,Black,Metal,1.25kg,2 Years,160221
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,16GB,512GB SSD,"16"" QHD",Windows 10,Blue,Aluminum,1.40kg,3 Years,112435
Walton Prelude N41,Walton,Intel Core i7 13th Gen,8GB,1TB SSD,"13.3"" FHD",macOS Ventura,Gray,Aluminum,2.00kg,1 Year,156424
Dell Inspiron 14,Dell,Apple M1,8GB,512GB SSD,"15.6"" FHD",Windows 11,Silver,Aluminum,2.00kg,1 Year,63983
Acer Aspire 5,Acer,Intel Core i9 13th Gen,16GB,256GB SSD,"14"" FHD",Windows 11,Blue,Magnesium Alloy,1.75kg,3 Years,204680
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,12GB,512GB SSD,"14"" FHD",Chrome OS,Gray,Carbon Fiber,2.00kg,1 Year,244704
Walton Tamarind EX10,Walton,Intel Core i7 13th Gen,8GB,128GB SSD,"13.3"" FHD",Chrome OS,Blue,Aluminum,1.75kg,3 Years,40230
LG Gram 14,LG,Intel Core i5 12th Gen,8GB,512GB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,1.25kg,1 Year,69959
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,4GB,1TB SSD,"13.3"" FHD",Chrome OS,Black,Aluminum,0.99kg,3 Years,48446
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,32GB,1TB SSD,"17"" FHD",macOS Ventura,Black,Plastic,0.99kg,2 Years,226989
ASUS VivoBook 15,ASUS,Apple M2,8GB,256GB SSD,"13.3"" FHD",macOS Ventura,Blue,Aluminum,1.40kg,1 Year,45330
Walton Tamarind EX10,Walton,Apple M1,12GB,128GB SSD,"14"" FHD",Windows 11,Silver,Carbon Fiber,0.99kg,1 Year,110699
Acer Aspire 5,Acer,Apple M1,12GB,256GB SSD,"17"" FHD",Windows 11,Gray,Magnesium Alloy,1.25kg,3 Years,129672
ASUS VivoBook 15,ASUS,AMD Ryzen 7 5800U,4GB,512GB SSD,"16"" QHD",macOS Ventura,Black,Carbon Fiber,1.25kg,3 Years,97495
HP Victus 15,HP,Intel Core i3 11th Gen,32GB,1TB SSD,"16"" QHD",Windows 11,Gray,Magnesium Alloy,2.00kg,1 Year,165429
HP Pavilion 15,HP,Apple M2,16GB,256GB SSD,"15.6"" FHD",Windows 10,Gray,Carbon Fiber,1.75kg,1 Year,216052
LG Gram 14,LG,Intel Core i3 11th Gen,8GB,512GB SSD,"13.3"" FHD",Windows 11,Gray,Magnesium Alloy,1.75kg,1 Year,116586
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,4GB,128GB SSD,"14"" FHD",Chrome OS,Black,Metal,0.99kg,2 Years,79052
LG Gram 14,LG,Apple M2,8GB,256GB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,0.99kg,1 Year,166914
Walton Prelude N41,Walton,Intel Core i9 13th Gen,12GB,256GB SSD,"13.3"" FHD",Windows 10,White,Aluminum,2.00kg,1 Year,48913
HP Pavilion 15,HP,Intel Core i9 13th Gen,16GB,128GB SSD,"15.6"" FHD",Windows 11,Silver,Magnesium Alloy,2.00kg,3 Years,149880
HP Pavilion 15,HP,AMD Ryzen 7 5800U,16GB,1TB SSD,"14"" FHD",macOS Ventura,Gray,Plastic,1.25kg,1 Year,197594
Dell Inspiron 14,Dell,Intel Core i9 13th Gen,12GB,256GB SSD,"16"" QHD",Windows 11,White,Magnesium Alloy,1.75kg,1 Year,164402
Apple MacBook Air M1,Apple,AMD Ryzen 5 5500U,4GB,256GB SSD,"16"" QHD",Windows 10,Gray,Magnesium Alloy,1.25kg,2 Years,232469
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 5 5500U,4GB,1TB SSD,"14"" FHD",Windows 10,Gray,Metal,2.00kg,2 Years,178878
Dell Inspiron 14,Dell,AMD Ryzen 5 5500U,16GB,512GB SSD,"16"" QHD",Chrome OS,White,Metal,0.99kg,1 Year,185211
Apple MacBook Air M1,Apple,Intel Core i5 12th Gen,32GB,1TB SSD,"13.3"" FHD",macOS Ventura,Blue,Metal,1.40kg,3 Years,241056
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,16GB,128GB SSD,"13.3"" FHD",Windows 11,Blue,Aluminum,1.75kg,3 Years,160425
Apple MacBook Air M2,Apple,Intel Core i5 12th Gen,16GB,128GB SSD,"13.3"" FHD",macOS Ventura,Blue,Plastic,1.40kg,1 Year,48538
Dell XPS 13,Dell,Intel Core i9 13th Gen,8GB,1TB SSD,"16"" QHD",macOS Ventura,Silver,Metal,2.00kg,1 Year,94752
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,16GB,512GB SSD,"16"" QHD",Windows 11,Gray,Carbon Fiber,1.25kg,2 Years,202869
Acer Aspire 5,Acer,Intel Core i7 13th Gen,8GB,128GB SSD,"15.6"" FHD",Chrome OS,Blue,Plastic,1.75kg,2 Years,154030
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,4GB,128GB SSD,"15.6"" FHD",Windows 11,Blue,Metal,1.40kg,1 Year,96638
LG Gram 14,LG,AMD Ryzen 5 5500U,12GB,512GB SSD,"16"" QHD",Windows 10,Gray,Aluminum,1.25kg,1 Year,161382
Walton Tamarind EX10,Walton,Apple M2,12GB,128GB SSD,"17"" FHD",Windows 11,Black,Aluminum,1.40kg,1 Year,129561
Dell Inspiron 14,Dell,AMD Ryzen 5 5500U,32GB,256GB SSD,"13.3"" FHD",Chrome OS,Silver,Metal,0.99kg,1 Year,170995
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,32GB,128GB SSD,"15.6"" FHD",Windows 11,Blue,Aluminum,2.00kg,1 Year,188689
Dell Inspiron 14,Dell,AMD Ryzen 5 5500U,32GB,128GB SSD,"17"" FHD",Windows 10,White,Plastic,0.99kg,2 Years,112313
Apple MacBook Air M1,Apple,Apple M1,32GB,512GB SSD,"13.3"" FHD",macOS Ventura,Blue,Metal,1.75kg,1 Year,162207
Dell XPS 13,Dell,Intel Core i9 13th Gen,8GB,512GB SSD,"13.3"" FHD",Windows 10,Blue,Metal,2.00kg,2 Years,183632
LG Gram 14,LG,Intel Core i7 13th Gen,4GB,1TB SSD,"16"" QHD",macOS Ventura,Blue,Metal,1.25kg,1 Year,188994
HP Pavilion 15,HP,AMD Ryzen 7 5800U,16GB,1TB SSD,"17"" FHD",Chrome OS,Black,Magnesium Alloy,0.99kg,3 Years,205364
LG Gram 14,LG,Intel Core i5 12th Gen,32GB,512GB SSD,"17"" FHD",Windows 11,Blue,Metal,1.40kg,3 Years,154637
Walton Tamarind EX10,Walton,Apple M2,4GB,256GB SSD,"16"" QHD",Windows 11,Black,Plastic,1.25kg,1 Year,222417
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,32GB,512GB SSD,"16"" QHD",Windows 10,Silver,Metal,1.25kg,1 Year,64482
ASUS ROG Zephyrus G14,ASUS,Apple M1,4GB,1TB SSD,"15.6"" FHD",Windows 10,Gray,Magnesium Alloy,2.00kg,2 Years,123909
Apple MacBook Air M1,Apple,Apple M2,32GB,256GB SSD,"17"" FHD",Windows 10,Silver,Magnesium Alloy,0.99kg,3 Years,171511
Apple MacBook Air M1,Apple,Apple M1,8GB,512GB SSD,"15.6"" FHD",Windows 11,Blue,Plastic,1.75kg,2 Years,137908
HP Victus 15,HP,AMD Ryzen 5 5500U,8GB,512GB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,2.00kg,1 Year,201134
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,16GB,512GB SSD,"13.3"" FHD",Windows 11,Blue,Aluminum,1.75kg,3 Years,107603
Apple MacBook Pro M2,Apple,Apple M2,12GB,512GB SSD,"15.6"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,1 Year,197504
Dell XPS 13,Dell,Intel Core i5 12th Gen,16GB,1TB SSD,"15.6"" FHD",macOS Ventura,White,Carbon Fiber,1.25kg,3 Years,46674
ASUS VivoBook 15,ASUS,AMD Ryzen 7 5800U,12GB,512GB SSD,"14"" FHD",Chrome OS,Gray,Carbon Fiber,0.99kg,2 Years,54098
Lenovo IdeaPad Slim 3,Lenovo,Apple M1,4GB,256GB SSD,"13.3"" FHD",Chrome OS,Silver,Aluminum,1.40kg,1 Year,38526
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,8GB,512GB SSD,"14"" FHD",Windows 10,Blue,Aluminum,2.00kg,2 Years,157768
Acer Aspire 5,Acer,Intel Core i5 12th Gen,12GB,128GB SSD,"13.3"" FHD",Windows 10,Black,Aluminum,0.99kg,3 Years,128651
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,8GB,256GB SSD,"13.3"" FHD",Chrome OS,Silver,Metal,1.25kg,2 Years,179578
Walton Prelude N41,Walton,Apple M1,4GB,1TB SSD,"17"" FHD",macOS Ventura,Silver,Magnesium Alloy,2.00kg,3 Years,218564
Acer Aspire 5,Acer,Intel Core i5 12th Gen,16GB,128GB SSD,"14"" FHD",Chrome OS,Black,Plastic,1.25kg,2 Years,69077
Apple MacBook Air M2,Apple,Intel Core i3 11th Gen,4GB,512GB SSD,"15.6"" FHD",Windows 10,Blue,Carbon Fiber,1.40kg,1 Year,122806
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,4GB,128GB SSD,"17"" FHD",Windows 10,Silver,Magnesium Alloy,2.00kg,3 Years,200221
Acer Aspire 5,Acer,Apple M1,4GB,128GB SSD,"15.6"" FHD",Windows 11,Gray,Metal,2.00kg,3 Years,113724
