instruct,answer,Conditions,Offers
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 281, Category: General Use, Price: 70191 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Dell laptop with 16GB RAM and 1TB SSD.,"Name: Dell ExpertBook 282, Category: General Use, Price: 133607 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a Acer laptop with 16GB RAM and 256GB SSD.,"Name: Acer ExpertBook 283, Category: General Use, Price: 60308 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Delivery
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 284, Category: General Use, Price: 63169 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Free Delivery
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 285, Category: General Use, Price: 124630 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Student Discount Available
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 286, Category: General Use, Price: 75109 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Travel Pouch
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 287, Category: General Use, Price: 124958 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 288, Category: General Use, Price: 147918 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 289, Category: General Use, Price: 73405 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a HP laptop with 16GB RAM and 256GB SSD.,"Name: HP ExpertBook 290, Category: General Use, Price: 148623 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 291, Category: General Use, Price: 78769 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a ASUS laptop with 4GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 292, Category: General Use, Price: 108786 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,Free Delivery
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 293, Category: General Use, Price: 100494 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 294, Category: General Use, Price: 133534 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,Cashback ৳2000
Suggest a HP laptop with 12GB RAM and 512GB SSD.,"Name: HP ExpertBook 295, Category: General Use, Price: 67719 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 296, Category: General Use, Price: 126328 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Dell laptop with 16GB RAM and 128GB SSD.,"Name: Dell ExpertBook 297, Category: General Use, Price: 51281 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,Discount ৳1500
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 298, Category: General Use, Price: 104574 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Apple laptop with 16GB RAM and 1TB SSD.,"Name: Apple ExpertBook 299, Category: General Use, Price: 118830 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 300, Category: General Use, Price: 54529 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 301, Category: General Use, Price: 69405 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a HP laptop with 12GB RAM and 256GB SSD.,"Name: HP ExpertBook 302, Category: General Use, Price: 62213 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 303, Category: General Use, Price: 117434 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 304, Category: General Use, Price: 76495 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Dell laptop with 12GB RAM and 256GB SSD.,"Name: Dell ExpertBook 305, Category: General Use, Price: 110052 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a Acer laptop with 4GB RAM and 512GB SSD.,"Name: Acer ExpertBook 306, Category: General Use, Price: 144330 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Gaming Mouse
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 307, Category: General Use, Price: 95303 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 308, Category: General Use, Price: 104395 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 309, Category: General Use, Price: 95829 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Free Delivery
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 310, Category: General Use, Price: 60883 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 311, Category: General Use, Price: 55351 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a LG laptop with 8GB RAM and 1TB SSD.,"Name: LG ExpertBook 312, Category: General Use, Price: 106301 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 512GB SSD.,"Name: MSI ExpertBook 313, Category: General Use, Price: 145319 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a Acer laptop with 16GB RAM and 256GB SSD.,"Name: Acer ExpertBook 314, Category: General Use, Price: 79749 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Dell laptop with 16GB RAM and 128GB SSD.,"Name: Dell ExpertBook 315, Category: General Use, Price: 59969 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 316, Category: General Use, Price: 99624 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Discount ৳1500
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 317, Category: General Use, Price: 148059 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 318, Category: General Use, Price: 69680 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 319, Category: General Use, Price: 92201 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 8GB RAM and 128GB SSD.,"Name: MSI ExpertBook 320, Category: General Use, Price: 111454 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a HP laptop with 12GB RAM and 256GB SSD.,"Name: HP ExpertBook 321, Category: General Use, Price: 72077 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Laptop Bag
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 322, Category: General Use, Price: 79529 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Delivery
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 323, Category: General Use, Price: 114879 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a LG laptop with 16GB RAM and 128GB SSD.,"Name: LG ExpertBook 324, Category: General Use, Price: 55005 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a Apple laptop with 12GB RAM and 128GB SSD.,"Name: Apple ExpertBook 325, Category: General Use, Price: 145561 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a ASUS laptop with 4GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 326, Category: General Use, Price: 74946 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Cashback ৳2000
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 327, Category: General Use, Price: 100328 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a LG laptop with 4GB RAM and 1TB SSD.,"Name: LG ExpertBook 328, Category: General Use, Price: 109139 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 329, Category: General Use, Price: 117430 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,Battery Replacement Support
Suggest a LG laptop with 16GB RAM and 1TB SSD.,"Name: LG ExpertBook 330, Category: General Use, Price: 106000 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 331, Category: General Use, Price: 77166 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 332, Category: General Use, Price: 126161 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Delivery
Suggest a HP laptop with 12GB RAM and 256GB SSD.,"Name: HP ExpertBook 333, Category: General Use, Price: 50018 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Battery Replacement Support
Suggest a HP laptop with 12GB RAM and 1TB SSD.,"Name: HP ExpertBook 334, Category: General Use, Price: 121516 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a LG laptop with 8GB RAM and 1TB SSD.,"Name: LG ExpertBook 335, Category: General Use, Price: 123291 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 336, Category: General Use, Price: 81994 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a HP laptop with 12GB RAM and 512GB SSD.,"Name: HP ExpertBook 337, Category: General Use, Price: 66788 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 338, Category: General Use, Price: 128353 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a HP laptop with 8GB RAM and 1TB SSD.,"Name: HP ExpertBook 339, Category: General Use, Price: 136058 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 340, Category: General Use, Price: 132285 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 341, Category: General Use, Price: 48353 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Free Travel Pouch
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 342, Category: General Use, Price: 61544 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Free Mouse Pad
Suggest a ASUS laptop with 4GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 343, Category: General Use, Price: 73486 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a HP laptop with 4GB RAM and 256GB SSD.,"Name: HP ExpertBook 344, Category: General Use, Price: 70474 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 8GB RAM and 128GB SSD.,"Name: Acer ExpertBook 345, Category: General Use, Price: 135887 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Cashback ৳2000
Suggest a Dell laptop with 4GB RAM and 256GB SSD.,"Name: Dell ExpertBook 346, Category: General Use, Price: 140744 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 4GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 347, Category: General Use, Price: 64024 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a Dell laptop with 16GB RAM and 256GB SSD.,"Name: Dell ExpertBook 348, Category: General Use, Price: 71042 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 349, Category: General Use, Price: 53645 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,No discount
Suggest a Acer laptop with 8GB RAM and 1TB SSD.,"Name: Acer ExpertBook 350, Category: General Use, Price: 49562 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 351, Category: General Use, Price: 49284 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a Dell laptop with 16GB RAM and 512GB SSD.,"Name: Dell ExpertBook 352, Category: General Use, Price: 70459 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 353, Category: General Use, Price: 82451 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 354, Category: General Use, Price: 101975 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Brand New,Free Gaming Mouse
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 355, Category: General Use, Price: 64415 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Delivery
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 356, Category: General Use, Price: 46170 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,No discount
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 357, Category: General Use, Price: 137131 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 358, Category: General Use, Price: 94215 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Brand New,No discount
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 359, Category: General Use, Price: 132932 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Delivery
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 360, Category: General Use, Price: 112128 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a MSI laptop with 8GB RAM and 128GB SSD.,"Name: MSI ExpertBook 361, Category: General Use, Price: 142160 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 362, Category: General Use, Price: 58464 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Backpack
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 363, Category: General Use, Price: 112111 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 364, Category: General Use, Price: 77758 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,Student Discount Available
Suggest a LG laptop with 12GB RAM and 512GB SSD.,"Name: LG ExpertBook 365, Category: General Use, Price: 74074 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Free Mouse Pad
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 366, Category: General Use, Price: 147594 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a HP laptop with 4GB RAM and 512GB SSD.,"Name: HP ExpertBook 367, Category: General Use, Price: 115143 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,EMI available (6 months)
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 368, Category: General Use, Price: 53473 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Delivery
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 369, Category: General Use, Price: 103711 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 370, Category: General Use, Price: 145326 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a Apple laptop with 4GB RAM and 128GB SSD.,"Name: Apple ExpertBook 371, Category: General Use, Price: 121309 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Brand New,Up to 5% Discount
Suggest a HP laptop with 16GB RAM and 512GB SSD.,"Name: HP ExpertBook 372, Category: General Use, Price: 90096 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 16GB RAM and 256GB SSD.,"Name: MSI ExpertBook 373, Category: General Use, Price: 148985 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Travel Pouch
